AISite,Channel,YearMonth,EventCount
gemini.google.com,Desktop,2026-01,3710
claude.ai,API,2026-03,3606
chat.openai.com,Desktop,2025-10,843
midjourney.com,Desktop,2026-02,369
claude.ai,Browser,2026-03,2097
perplexity.ai,Desktop,2026-02,1459
claude.ai,Browser,2025-10,786
perplexity.ai,Desktop,2026-06,187
claude.ai,API,2026-02,406
deepseek.com,Desktop,2026-02,1326
claude.ai,Desktop,2026-05,3714
claude.ai,API,2026-04,4458
claude.ai,Desktop,2026-06,337
claude.ai,API,2026-06,1318
deepseek.com,API,2025-10,1021
perplexity.ai,API,2025-12,2748
copilot.microsoft.com,Browser,2026-06,1943
midjourney.com,API,2025-11,2520
claude.ai,API,2026-03,611
deepseek.com,Browser,2025-12,1366
midjourney.com,Desktop,2025-10,4323
gemini.google.com,Desktop,2026-04,158
midjourney.com,Browser,2026-02,3068
gemini.google.com,Desktop,2025-11,437
midjourney.com,Browser,2026-06,1745
claude.ai,API,2026-02,1076
copilot.microsoft.com,API,2025-09,482
chat.openai.com,Browser,2025-12,4487
gemini.google.com,API,2026-01,1456
deepseek.com,Browser,2026-04,193
copilot.microsoft.com,API,2026-01,3888
copilot.microsoft.com,Desktop,2026-03,4147
chat.openai.com,Browser,2025-09,3423
midjourney.com,API,2025-11,1727
deepseek.com,API,2026-04,1316
chat.openai.com,Browser,2026-01,2584
midjourney.com,API,2026-06,1730
chat.openai.com,Desktop,2025-10,4074
chat.openai.com,Browser,2026-01,1034
copilot.microsoft.com,Browser,2026-05,2379
chat.openai.com,Browser,2026-01,3421
deepseek.com,Browser,2026-05,4726
gemini.google.com,API,2025-10,4426
gemini.google.com,Desktop,2026-05,1789
deepseek.com,API,2026-06,248
claude.ai,Browser,2026-05,522
midjourney.com,API,2026-05,1845
claude.ai,Desktop,2026-01,2151
perplexity.ai,API,2025-11,1964
claude.ai,Browser,2026-04,3605
gemini.google.com,Desktop,2025-12,662
deepseek.com,API,2025-11,2291
gemini.google.com,Browser,2026-03,3360
midjourney.com,Desktop,2025-12,4390
claude.ai,API,2025-11,3974
deepseek.com,API,2026-01,2402
claude.ai,Desktop,2026-01,1570
deepseek.com,API,2026-05,1126
copilot.microsoft.com,Desktop,2026-04,4312
gemini.google.com,API,2025-09,2821
